SampleName;Condition;Replicate;LGG;SHIME;HumanCells;IL8;RelativeTNFalpha;RelativeIL1beta;RelativeIL10;FCM;LGG_spike_count;LDH;NormalizedResazurin;Mucus;Acetic_acid;Propionic_acid;Butyric_acid;Isobutyric_acid;Isovaleric_acid;Valeric_acid;Isocaproic_acid;Caproic_acid;Heptanoic_acid;Octanoic_acid;Total_SCFA
Blank1;Blank;1; -LGG; -SHIME;Triple_coculture;111,3793127;106,854;142,105;100,9691823;0,0000;0,0000;-0,0254553;71,4314;99,0625;0;0;0;0;0;0;0;0;0;0;0
Blank2;Blank;2; -LGG; -SHIME;Triple_coculture;108,9367812;122,430;110,526;100,888413;0,0000;0,0000;-0,069747362;76,7423;95,3125;0;0;0;0;0;0;0;0;0;0;0
Blank3;Blank;3; -LGG; -SHIME;Triple_coculture;115,8620669;92,523;113,684;125,764003;0,0000;0,0000;0,095202662;74,4514;103,125;0;0;0;0;0;0;0;0;0;0;0
HelaControl;Control;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0;0;0;0;0;0;0;0;0;0;0
SHIME1;SHIME;1; -LGG; +SHIME;Triple_coculture;1148,79309;197,819;915,789;102,9075339;7,8281;0,0000;-0,529469479;78,1929;130,3125;28,9054022;7,693130816;15,99538515;1,104442659;1,568436666;5,16505488;0;2,847642206;0;0;63,27949457
SHIME2;SHIME;2; -LGG; +SHIME;Triple_coculture;1316,14938;211,838;809,473;108,1572579;7,7218;0,0000;-0,954063472;79,4270;95,9375;28,9054022;7,693130816;15,99538515;1,104442659;1,568436666;5,16505488;0;2,847642206;0;0;63,27949457
SHIME3;SHIME;3; -LGG; +SHIME;Triple_coculture;1390,60347;175,389;1256,84;120,5950544;7,7305;0,0000;0,947445104;77,1633;98,125;28,9054022;7,693130816;15,99538515;1,104442659;1,568436666;5,16505488;0;2,847642206;0;0;63,27949457
SHIME_LGG1;SHIME_LGG;1; +LGG; +SHIME;Triple_coculture;1358,99426;312,461;1821,05;110,9032602;7,6766;5,4000;0,075347558;80,0117;120;28,9054022;7,693130816;15,99538515;1,104442659;1,568436666;5,16505488;0;2,847642206;0;0;63,27949457
SHIME_LGG2;SHIME_LGG;2; +LGG; +SHIME;Triple_coculture;1311,95407;197,819;1763,16;107,4303704;7,7661;5,4000;-0,147640376;79,5449;115;28,9054022;7,693130816;15,99538515;1,104442659;1,568436666;5,16505488;0;2,847642206;0;0;63,27949457
SHIME_LGG3;SHIME_LGG;3; +LGG; +SHIME;Triple_coculture;156,4367845;155,452;891,579;106,2996665;7,4543;5,4000;0,276953276;78,0295;102,1875;28,9054022;7,693130816;15,99538515;1,104442659;1,568436666;5,16505488;0;2,847642206;0;0;63,27949457
